Vivienda Unifamiliar,,,,,,,,,,,,
Presupuesto,,,,,,,,,,,,
Código,Nat,Ud,Resumen,Comentario,N,Longitud,Anchura,Altura,Cantidad,CanPres,Pres,ImpPres
01,Capítulo,,Acondicionamiento del terreno,,,,,,,1,0.00,0.00
,,,El presente presupuesto prevalecerán ante contradicción  las indicaciones y mediciones de los planos-memorias al del presente presupuesto. Para la oferta de obra deberá tenerse en cuenta esta indicación.,,,,,,,,,
01.01,Capítulo,,Movimiento de tierras en edificación,,,,,,,1.000,0.00,0.00
01.01.01,Partida,m³,Excavación de  terreno flojo,,,,,,,40.800,0.00,0.00
,,,"Excavación de hasta profundidad necesaria según planos, que en todo su perímetro quedan por debajo de la rasante natural, en cualquier tipo de terreno, con medios mecánicos, y carga a camión.
Incluye: Replanteo general y fijación de los puntos y niveles de referencia. Colocación de las camillas en las esquinas y extremos de las alineaciones. Excavación en sucesivas franjas horizontales y extracción de tierras. Refinado de fondos y laterales a mano, con extracción de las tierras. Carga a camión de los materiales excavados.",,,,,,,,,
,,Spc0010,,urbanización posterior de la parcela,1.0000000000,12.750,0.000,0.000,40.800,3.20,,
,,,,,,,,,Total 01.01.01,40.800,0.00,0.00
,,,,,,,,,,,,
01.01.02,Partida,m³,Excavación de sótanos roca dura,,,,,,,43.605,0.00,0.00
,,,"Excavación de sótanos de hasta profundidad necesaria según planos, que en todo su perímetro quedan por debajo de la rasante natural, en suelo de roca dura, con medios mecánicos, y carga a camión. Deberá estudiarse para presupuestar el estudio geotécnico debido a esta condición. Incluyendo todo tipo de sisitemas tanto de morteros expansivos y como de martillo percutor para la correcta ejecución de las obras posteriores.
Incluye: Replanteo general y fijación de los puntos y niveles de referencia. Colocación de las camillas en las esquinas y extremos de las alineaciones. Excavación en sucesivas franjas horizontales y extracción de tierras. Refinado de fondos y laterales a mano, con extracción de las tierras. Carga a camión de los materiales excavados.",,,,,,,,,
,,Spc0010,,Excavación en roca,1.0000000000,12.750,0.000,0.000,43.605,3.42,,
,,,,,,,,,Total 01.01.02,43.605,0.00,0.00
,,,,,,,,,,,,
01.01.03,Partida,m³,Excavación de zanjas para instalaciones,,,,,,,24.750,0.00,0.00
,,,"Excavación de zanjas para instalaciones hasta profundidad necesaria según planos, en cualquier tipo de terreno, con medios mecánicos, y carga a camión.
Incluye: Replanteo general y fijación de los puntos y niveles de referencia. Colocación de las camillas en las esquinas y extremos de las alineaciones. Excavación en sucesivas franjas horizontales y extracción de tierras. Refinado de fondos con extracción de las tierras. Carga a camión de los materiales excavados.",,,,,,,,,
,,Spc0010,,abastecimiento de aguas y saneamiento hasta conexión a red gener,1.0000000000,9.000,0.500,1.000,4.500,,,
,,Spc0010,,electricidad desde cuadro de contadores,9.0000000000,9.000,0.500,0.500,20.250,,,
,,,,,,,,,Total 01.01.03,24.750,0.00,0.00
,,,,,,,,,,,,
