Código,Nat,Ud,Resumen,CanPres,Descripción,Resumen_2,CanPres_2,Descripción_2,Castro € unitario,Castro € tot,Balboa € unitario,Balboa € tot,Delta Castro,Delta Balboa
01.01.01,Partida,m³,Excavación de  terreno flojo,40.800,"Excavación de hasta profundidad necesaria según planos, que en todo su perímetro quedan por debajo de la rasante natural, en cualquier tipo de terreno, con medios mecánicos, y carga a camión.
Incluye: Replanteo general y fijación de los puntos y niveles de referencia. Colocación de las camillas en las esquinas y extremos de las alineaciones. Excavación en sucesivas franjas horizontales y extracción de tierras. Refinado de fondos y laterales a mano, con extracción de las tierras. Carga a camión de los materiales excavados.",Excavación de  terreno flojo,40.800,"Excavación de hasta profundidad necesaria según planos, que en todo su perímetro quedan por debajo de la rasante natural, en cualquier tipo de terreno, con medios mecánicos, y carga a camión.
Incluye: Replanteo general y fijación de los puntos y niveles de referencia. Colocación de las camillas en las esquinas y extremos de las alineaciones. Excavación en sucesivas franjas horizontales y extracción de tierras. Refinado de fondos y laterales a mano, con extracción de las tierras. Carga a camión de los materiales excavados.",28.41,1159.128,36.53,1490.424,0.0,0.0
01.01.02,Partida,m³,Excavación de sótanos roca dura,43.605,"Excavación de sótanos de hasta profundidad necesaria según planos, que en todo su perímetro quedan por debajo de la rasante natural, en suelo de roca dura, con medios mecánicos, y carga a camión. Deberá estudiarse para presupuestar el estudio geotécnico debido a esta condición. Incluyendo todo tipo de sisitemas tanto de morteros expansivos y como de martillo percutor para la correcta ejecución de las obras posteriores.
Incluye: Replanteo general y fijación de los puntos y niveles de referencia. Colocación de las camillas en las esquinas y extremos de las alineaciones. Excavación en sucesivas franjas horizontales y extracción de tierras. Refinado de fondos y laterales a mano, con extracción de las tierras. Carga a camión de los materiales excavados.",Excavación de sótanos roca dura,43.605,"Excavación de sótanos de hasta profundidad necesaria según planos, que en todo su perímetro quedan por debajo de la rasante natural, en suelo de roca dura, con medios mecánicos, y carga a camión. Deberá estudiarse para presupuestar el estudio geotécnico debido a esta condición. Incluyendo todo tipo de sisitemas tanto de morteros expansivos y como de martillo percutor para la correcta ejecución de las obras posteriores.
Incluye: Replanteo general y fijación de los puntos y niveles de referencia. Colocación de las camillas en las esquinas y extremos de las alineaciones. Excavación en sucesivas franjas horizontales y extracción de tierras. Refinado de fondos y laterales a mano, con extracción de las tierras. Carga a camión de los materiales excavados.",85.22,3716.0181,51.82,2259.6110999999996,0.0,0.0
01.01.03,Partida,m³,Excavación de zanjas para instalaciones,24.750,"Excavación de zanjas para instalaciones hasta profundidad necesaria según planos, en cualquier tipo de terreno, con medios mecánicos, y carga a camión.
Incluye: Replanteo general y fijación de los puntos y niveles de referencia. Colocación de las camillas en las esquinas y extremos de las alineaciones. Excavación en sucesivas franjas horizontales y extracción de tierras. Refinado de fondos con extracción de las tierras. Carga a camión de los materiales excavados.",Excavación de zanjas para instalaciones,24.750,"Excavación de zanjas para instalaciones hasta profundidad necesaria según planos, en cualquier tipo de terreno, con medios mecánicos, y carga a camión.
Incluye: Replanteo general y fijación de los puntos y niveles de referencia. Colocación de las camillas en las esquinas y extremos de las alineaciones. Excavación en sucesivas franjas horizontales y extracción de tierras. Refinado de fondos con extracción de las tierras. Carga a camión de los materiales excavados.",41.99,1039.2525,28.41,703.1475,0.0,0.0
01.01.04,Partida,m³,"Relleno envolvente y principal de zanjas para instalaciones, con tierra seleccionada procedente de la propia excavación y compac",17.303,"Relleno envolvente y principal de zanjas para instalaciones, con tierra seleccionada procedente de la propia excavación y compactación en tongadas sucesivas de 20 cm de espesor máximo con bandeja vibrante de guiado manual, hasta alcanzar una densidad seca no inferior al 95% de la máxima obtenida en el ensayo Proctor Modificado, realizado según UNE 103501. Incluso cinta o distintivo indicador de la instalación.
Incluye: Extendido del material de relleno en tongadas de espesor uniforme. Humectación o desecación de cada tongada. Colocación de cinta o distintivo indicador de la instalación. Compactación.","Relleno envolvente y principal de zanjas para instalaciones, con tierra seleccionada procedente de la propia excavación y compac",17.303,"Relleno envolvente y principal de zanjas para instalaciones, con tierra seleccionada procedente de la propia excavación y compactación en tongadas sucesivas de 20 cm de espesor máximo con bandeja vibrante de guiado manual, hasta alcanzar una densidad seca no inferior al 95% de la máxima obtenida en el ensayo Proctor Modificado, realizado según UNE 103501. Incluso cinta o distintivo indicador de la instalación.
Incluye: Extendido del material de relleno en tongadas de espesor uniforme. Humectación o desecación de cada tongada. Colocación de cinta o distintivo indicador de la instalación. Compactación.",18.53,320.62459,14.96,258.85288,0.0,0.0
01.01.05,Partida,m³,Relleno con suelo seleccionado externo,190.540,"Relleno  compactado con suelo seleccionado procedente de préstamo externo a obra, i/carga, trasnporte, descarga en obra, extendido, riego, compactación y refino de taludes, con capa superficial de 20 cm se sustrato vegetal preparado para siembra de hierba y especifico para ello.",Relleno con suelo seleccionado externo,471.650,"Relleno  compactado con suelo seleccionado procedente de préstamo externo a obra, i/carga, trasnporte, descarga en obra, extendido, riego, compactación y refino de taludes, con capa superficial de 20 cm se sustrato vegetal preparado para siembra de hierba y especifico para ello.",65.15,12413.681,27.15,5173.160999999999,18314.3165,7632.1365
01.01.06,Partida,m³,"Base de pavimento realizada mediante relleno a cielo abierto, con tierra seleccionada procedente de la propia excavación, y comp",10.210,"Base de pavimento realizada mediante relleno a cielo abierto, con tierra seleccionada procedente de la propia excavación, y compactación en tongadas sucesivas de 30 cm de espesor máximo con bandeja vibrante de guiado manual, hasta alcanzar una densidad seca no inferior al 95% de la máxima obtenida en el ensayo Proctor Modificado, realizado según UNE 103501.
Incluye: Transporte y descarga del material de relleno a pie de tajo. Extendido del material de relleno en tongadas de espesor uniforme. Humectación o desecación de cada tongada. Compactación.","Base de pavimento realizada mediante relleno a cielo abierto, con tierra seleccionada procedente de la propia excavación, y comp",10.210,"Base de pavimento realizada mediante relleno a cielo abierto, con tierra seleccionada procedente de la propia excavación, y compactación en tongadas sucesivas de 30 cm de espesor máximo con bandeja vibrante de guiado manual, hasta alcanzar una densidad seca no inferior al 95% de la máxima obtenida en el ensayo Proctor Modificado, realizado según UNE 103501.
Incluye: Transporte y descarga del material de relleno a pie de tajo. Extendido del material de relleno en tongadas de espesor uniforme. Humectación o desecación de cada tongada. Compactación.",19.76,201.74960000000004,24.63,251.47230000000002,0.0,0.0
01.02.01,Partida,Ud,Arqueta de paso 50x50x50,8.000,"Arqueta de paso, registrable, enterrada, construida con fábrica de ladrillo cerámico macizo, de 1/2 pie de espesor, recibido con mortero de cemento, industrial, M-5, de dimensiones interiores 50x50x50 cm, sobre solera de hormigón en masa HM-30/B/20/I+Qb de 15 cm de espesor, formación de pendiente mínima del 2%, con el mismo tipo de hormigón, enfoscada y bruñida interiormente con mortero de cemento, industrial, con aditivo hidrófugo, M-15 formando aristas y esquinas a media caña, cerrada superiormente con tapa prefabricada de hormigón armado con cierre hermético al paso de los olores mefíticos. Incluso mortero para sellado de juntas y colector de conexión de PVC, de tres entradas y una salida, con tapa de registro, para encuentros.
Incluye: Replanteo. Vertido y compactación del hormigón en formación de solera. Formación de la obra de fábrica con ladrillos, previamente humedecidos, colocados con mortero. Conexionado de los colectores a la arqueta. Relleno de hormigón para formación de pendientes. Enfoscado y bruñido con mortero, redondeando los ángulos del fondo y de las paredes interiores de la arqueta. Colocación del colector de conexión de PVC en el fondo de la arqueta. Realización del cierre hermético y colocación de la tapa y los accesorios. Comprobación de su correcto funcionamiento. Realización de pruebas de servicio.",Arqueta de paso 50x50x50,8.000,"Arqueta de paso, registrable, enterrada, construida con fábrica de ladrillo cerámico macizo, de 1/2 pie de espesor, recibido con mortero de cemento, industrial, M-5, de dimensiones interiores 50x50x50 cm, sobre solera de hormigón en masa HM-30/B/20/I+Qb de 15 cm de espesor, formación de pendiente mínima del 2%, con el mismo tipo de hormigón, enfoscada y bruñida interiormente con mortero de cemento, industrial, con aditivo hidrófugo, M-15 formando aristas y esquinas a media caña, cerrada superiormente con tapa prefabricada de hormigón armado con cierre hermético al paso de los olores mefíticos. Incluso mortero para sellado de juntas y colector de conexión de PVC, de tres entradas y una salida, con tapa de registro, para encuentros.
Incluye: Replanteo. Vertido y compactación del hormigón en formación de solera. Formación de la obra de fábrica con ladrillos, previamente humedecidos, colocados con mortero. Conexionado de los colectores a la arqueta. Relleno de hormigón para formación de pendientes. Enfoscado y bruñido con mortero, redondeando los ángulos del fondo y de las paredes interiores de la arqueta. Colocación del colector de conexión de PVC en el fondo de la arqueta. Realización del cierre hermético y colocación de la tapa y los accesorios. Comprobación de su correcto funcionamiento. Realización de pruebas de servicio.",119.05,952.4,279.93,2239.44,0.0,0.0
01.02.02,Partida,Ud,Arqueta de paso 50x50x55,1.000,"Arqueta de paso, registrable, enterrada, construida con fábrica de ladrillo cerámico macizo, de 1/2 pie de espesor, recibido con mortero de cemento, industrial, M-5, de dimensiones interiores 50x50x55 cm, sobre solera de hormigón en masa HM-30/B/20/I+Qb de 15 cm de espesor, formación de pendiente mínima del 2%, con el mismo tipo de hormigón, enfoscada y bruñida interiormente con mortero de cemento, industrial, con aditivo hidrófugo, M-15 formando aristas y esquinas a media caña, cerrada superiormente con tapa prefabricada de hormigón armado con cierre hermético al paso de los olores mefíticos. Incluso mortero para sellado de juntas y colector de conexión de PVC, de tres entradas y una salida, con tapa de registro, para encuentros.
Incluye: Replanteo. Vertido y compactación del hormigón en formación de solera. Formación de la obra de fábrica con ladrillos, previamente humedecidos, colocados con mortero. Conexionado de los colectores a la arqueta. Relleno de hormigón para formación de pendientes. Enfoscado y bruñido con mortero, redondeando los ángulos del fondo y de las paredes interiores de la arqueta. Colocación del colector de conexión de PVC en el fondo de la arqueta. Realización del cierre hermético y colocación de la tapa y los accesorios. Comprobación de su correcto funcionamiento. Realización de pruebas de servicio.",Arqueta de paso 50x50x55,1.000,"Arqueta de paso, registrable, enterrada, construida con fábrica de ladrillo cerámico macizo, de 1/2 pie de espesor, recibido con mortero de cemento, industrial, M-5, de dimensiones interiores 50x50x55 cm, sobre solera de hormigón en masa HM-30/B/20/I+Qb de 15 cm de espesor, formación de pendiente mínima del 2%, con el mismo tipo de hormigón, enfoscada y bruñida interiormente con mortero de cemento, industrial, con aditivo hidrófugo, M-15 formando aristas y esquinas a media caña, cerrada superiormente con tapa prefabricada de hormigón armado con cierre hermético al paso de los olores mefíticos. Incluso mortero para sellado de juntas y colector de conexión de PVC, de tres entradas y una salida, con tapa de registro, para encuentros.
Incluye: Replanteo. Vertido y compactación del hormigón en formación de solera. Formación de la obra de fábrica con ladrillos, previamente humedecidos, colocados con mortero. Conexionado de los colectores a la arqueta. Relleno de hormigón para formación de pendientes. Enfoscado y bruñido con mortero, redondeando los ángulos del fondo y de las paredes interiores de la arqueta. Colocación del colector de conexión de PVC en el fondo de la arqueta. Realización del cierre hermético y colocación de la tapa y los accesorios. Comprobación de su correcto funcionamiento. Realización de pruebas de servicio.",119.05,119.05,285.44,285.44,0.0,0.0
01.02.03,Partida,m,Acometida general de saneamiento,6.360,"Acometida general de saneamiento, para la evacuación de aguas residuales y/o pluviales a la red general del municipio, con una pendiente mínima del 2%, para la evacuación de aguas residuales y/o pluviales, formada por tubo de PVC liso, serie SN-4, rigidez anular nominal 4 kN/m², de 110 mm de diámetro exterior, pegado mediante adhesivo, colocado sobre lecho de arena de 10 cm de espesor, debidamente compactada y nivelada con pisón vibrante de guiado manual, relleno lateral compactando hasta los riñones y posterior relleno con la misma arena hasta 30 cm por encima de la generatriz superior de la tubería, con sus correspondientes juntas y piezas especiales. Incluso líquido limpiador y adhesivo para tubos y accesorios de PVC y hormigón en masa HM-20/P/20/I para la posterior reposición del firme existente.
Incluye: Replanteo y trazado de la acometida en planta y pendientes. Rotura del pavimento con compresor. Presentación en seco de tubos y piezas especiales. Vertido de la arena en el fondo de la zanja. Descenso y colocación de los colectores en el fondo de la zanja. Montaje, conexionado y comprobación de su correcto funcionamiento. Ejecución del relleno envolvente. Realización de pruebas de servicio.",Acometida general de saneamiento,6.360,"Acometida general de saneamiento, para la evacuación de aguas residuales y/o pluviales a la red general del municipio, con una pendiente mínima del 2%, para la evacuación de aguas residuales y/o pluviales, formada por tubo de PVC liso, serie SN-4, rigidez anular nominal 4 kN/m², de 110 mm de diámetro exterior, pegado mediante adhesivo, colocado sobre lecho de arena de 10 cm de espesor, debidamente compactada y nivelada con pisón vibrante de guiado manual, relleno lateral compactando hasta los riñones y posterior relleno con la misma arena hasta 30 cm por encima de la generatriz superior de la tubería, con sus correspondientes juntas y piezas especiales. Incluso líquido limpiador y adhesivo para tubos y accesorios de PVC y hormigón en masa HM-20/P/20/I para la posterior reposición del firme existente.
Incluye: Replanteo y trazado de la acometida en planta y pendientes. Rotura del pavimento con compresor. Presentación en seco de tubos y piezas especiales. Vertido de la arena en el fondo de la zanja. Descenso y colocación de los colectores en el fondo de la zanja. Montaje, conexionado y comprobación de su correcto funcionamiento. Ejecución del relleno envolvente. Realización de pruebas de servicio.",60.16,382.6176,159.1,1011.876,0.0,0.0
01.02.04,Partida,Ud,Conexión de la acometida del edificio a la red general de saneamiento del municipio,2.000,"Conexión de la acometida del edificio a la red general de saneamiento del municipio a través de pozo de registro. Incluso junta flexible para el empalme de la acometida y mortero de cemento para repaso y bruñido en el interior del pozo.
Incluye: Replanteo y trazado de la conexión en el pozo de registro. Rotura del pozo con compresor. Montaje, conexionado y comprobación de su correcto funcionamiento. Realización de pruebas de servicio.",Conexión de la acometida del edificio a la red general de saneamiento del municipio,2.000,"Conexión de la acometida del edificio a la red general de saneamiento del municipio a través de pozo de registro. Incluso junta flexible para el empalme de la acometida y mortero de cemento para repaso y bruñido en el interior del pozo.
Incluye: Replanteo y trazado de la conexión en el pozo de registro. Rotura del pozo con compresor. Montaje, conexionado y comprobación de su correcto funcionamiento. Realización de pruebas de servicio.",,0,294.46,588.92,,0.0
